 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Chipre,21,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"0,72860178854704",Definitivo,Trimestral
Corea del Sur,20,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"42,8771036682283",Definitivo,Anual
Corea del Sur,20,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"10,9063328518023",Definitivo,Trimestral
Costa Rica,22,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"38,832184631758",Definitivo,Anual
Costa Rica,22,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"11,7225743390755",Definitivo,Trimestral
Cuba,23,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Cuba,23,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"50,8503796944088",Definitivo,Anual
Curazao,24,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"50,4600577337616",Definitivo,Trimestral
Dinamarca,25,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"1,45461879509349",Definitivo,Anual
Dinamarca,25,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-0,949035157435922",Definitivo,Trimestral
Ecuador,26,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"29,9787832197636",Definitivo,Anual
Ecuador,26,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"7,5638976110048",Definitivo,Trimestral
El Salvador,27,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
El Salvador,27,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Escocia,28,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Escocia,28,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
España,29,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"1324,30990135159",Definitivo,Anual
España,29,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"521,025025487965",Definitivo,Trimestral
Estados Unidos,30,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"2122,51216698202",Definitivo,Anual
Estados Unidos,30,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"188,642202811255",Definitivo,Trimestral
Finlandia,31,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Finlandia,31,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Francia,32,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"174,213739417348",Definitivo,Anual
Francia,32,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"80,105933963699",Definitivo,Trimestral
Gibraltar,33,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Gibraltar,33,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Grecia,34,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Grecia,34,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Guatemala,35,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Guatemala,35,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Honduras,36,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Honduras,36,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hong Kong,37,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Hong Kong,37,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hungría,38,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Hungría,38,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"3,69064071098891",Definitivo,Anual
India,41,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-0,605735792367768",Definitivo,Trimestral
Inglaterra,42,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"717,688720798656",Definitivo,Anual
Inglaterra,42,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"158,898425553982",Definitivo,Trimestral
Irlanda⁴,45,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"23,7738264827729",Definitivo,Anual
Irlanda⁴,45,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"1,91645791879323",Definitivo,Trimestral
Irán,44,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Irán,44,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Isla de Man,46,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Isla de Man,46,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"224,712492808373",Definitivo,Anual
Islas Caimán,39,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"11,5486047642464",Definitivo,Trimestral
Islas Vírgenes Británicas,40,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"192,268995594047",Definitivo,Anual
Islas Vírgenes Británicas,40,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-13,7710155044876",Definitivo,Trimestral
Israel,47,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"0,756336560625269",Definitivo,Anual
Israel,47,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"0,277438524639956",Definitivo,Trimestral
Italia,48,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"68,8125384875899",Definitivo,Anual
Italia,48,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"8,69090366487801",Definitivo,Trimestral
Japón,49,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"29,9711015522997",Definitivo,Anual
Japón,49,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-8,72995654311398",Definitivo,Trimestral
Jordania,50,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Jordania,50,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Kuwait,51,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Kuwait,51,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liberia,53,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Liberia,53,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liechtenstein,54,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Liechtenstein,54,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Lituania,55,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Lituania,55,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Luxemburgo,56,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-84,6427153663737",Definitivo,Anual
Luxemburgo,56,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-129,045461776967",Definitivo,Trimestral
Líbano,52,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Líbano,52,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Malasia,57,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"0,783917483370827",Definitivo,Anual
Malasia,57,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"0,075699607448459",Definitivo,Trimestral
México,58,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-130,430899812746",Definitivo,Anual
México,58,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"70,4487034324483",Definitivo,Trimestral
Nicaragua,59,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Nicaragua,59,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Noruega,60,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"89,4351785689718",Definitivo,Anual
Noruega,60,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-1,14139387786083",Definitivo,Trimestral
Nueva Zelanda,61,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Nueva Zelanda,61,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Otros Países,81,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"46,7815084434988",Definitivo,Anual
Otros Países,81,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"11,5554329402321",Definitivo,Trimestral
Panamá,63,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"1649,88846201572",Definitivo,Anual
Panamá,63,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"99,8692603219025",Definitivo,Trimestral
Paraguay,64,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Paraguay,64,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Países Bajos,62,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"907,353130926933",Definitivo,Anual
Países Bajos,62,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"476,980441688228",Definitivo,Trimestral
Perú,65,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"72,8423457354821",Definitivo,Anual
Perú,65,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"27,5294091243384",Definitivo,Trimestral
Portugal,66,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"8,5721627123786",Definitivo,Anual
Portugal,66,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"2,75400965864386",Definitivo,Trimestral
Puerto Rico,67,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"6,1850918",Definitivo,Anual
Puerto Rico,67,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"2,61585008",Definitivo,Trimestral
República Dominicana,69,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"4,57187063746325",Definitivo,Anual
República Dominicana,69,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-0,080166541695252",Definitivo,Trimestral
Singapur,70,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"72,177210123123",Definitivo,Anual
Singapur,70,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"1,30772858223089",Definitivo,Trimestral
Sri Lanka,71,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Sri Lanka,71,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Sudáfrica,74,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Sudáfrica,74,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Suecia,72,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"160,418354532026",Definitivo,Anual
Suecia,72,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-10,8682518580894",Definitivo,Trimestral
Suiza,73,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"957,511843673322",Definitivo,Anual
Suiza,73,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"46,2872636005989",Definitivo,Trimestral
Tailandia,75,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Tailandia,75,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Taiwán,76,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Taiwán,76,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Total paises,82,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"11620,5326457092",Definitivo,Anual
Total paises,82,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"2106,67563445098",Definitivo,Trimestral
Ucrania,77,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Anual
Ucrania,77,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Uruguay,78,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"66,9728648031527",Definitivo,Anual
Uruguay,78,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"-5,33177140391411",Definitivo,Trimestral
Venezuela,79,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"84,6406037982344",Definitivo,Anual
Venezuela,79,4,2015-4,2015,Países,Inversión Extranjera Directa en Colombia,"13,3228292441921",Definitivo,Trimestral
Afganistán,1,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Albania,2,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Alemania,3,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"84,4104115799648",Definitivo,Trimestral
Anguilla,4,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"-85,2763237713341",Definitivo,Trimestral
Antillas Holandesas,5,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"-0,12245950556417",Definitivo,Trimestral
Argentina,6,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"2,49619990817193",Definitivo,Trimestral
Aruba,7,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,029692876585692",Definitivo,Trimestral
Australia,8,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"12,3062606834589",Definitivo,Trimestral
Austria,9,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"24,9084644925159",Definitivo,Trimestral
Bahamas,10,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"9,11032591043763",Definitivo,Trimestral
Barbados,11,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"52,4885225633847",Definitivo,Trimestral
Belice,13,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Bermudas,14,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"156,56870420429",Definitivo,Trimestral
Bolivia,15,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,79843603",Definitivo,Trimestral
Brasil,16,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"11,3263718068315",Definitivo,Trimestral
Bélgica,12,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"-13,1386254247865",Definitivo,Trimestral
Canadá,17,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"39,9080568637741",Definitivo,Trimestral
Chile,18,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"36,0177786619128",Definitivo,Trimestral
China,19,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"3,67330069009828",Definitivo,Trimestral
Chipre,21,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,60979507",Definitivo,Trimestral
Corea del Sur,20,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"15,5270937656325",Definitivo,Trimestral
Costa Rica,22,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"21,0752710174592",Definitivo,Trimestral
Cuba,23,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"-1,5113873476703",Definitivo,Trimestral
Dinamarca,25,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"1,48372503729832",Definitivo,Trimestral
Ecuador,26,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"9,08716355079509",Definitivo,Trimestral
El Salvador,27,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Escocia,28,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
España,29,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"50,3814675259897",Definitivo,Trimestral
Estados Unidos,30,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"405,758493195547",Definitivo,Trimestral
Finlandia,31,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Francia,32,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"12,624155549663",Definitivo,Trimestral
Gibraltar,33,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Grecia,34,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Guatemala,35,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Honduras,36,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hong Kong,37,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hungría,38,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"1,81938784706917",Definitivo,Trimestral
Inglaterra,42,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"196,526905119012",Definitivo,Trimestral
Irlanda⁴,45,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"23,5118979131475",Definitivo,Trimestral
Irán,44,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Isla de Man,46,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"54,7287401668009",Definitivo,Trimestral
Islas Vírgenes Británicas,40,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"59,83201291756",Definitivo,Trimestral
Israel,47,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,160148433720866",Definitivo,Trimestral
Italia,48,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"22,5572552802844",Definitivo,Trimestral
Japón,49,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"10,4874320604277",Definitivo,Trimestral
Jordania,50,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Kuwait,51,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liberia,53,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Liechtenstein,54,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Lituania,55,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Luxemburgo,56,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"-4,59076896871722",Definitivo,Trimestral
Líbano,52,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Malasia,57,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,132485252768145",Definitivo,Trimestral
México,58,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"109,079731559951",Definitivo,Trimestral
Nicaragua,59,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Noruega,60,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,574498338633965",Definitivo,Trimestral
Nueva Zelanda,61,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Otros Países,81,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"12,6506418236863",Definitivo,Trimestral
Panamá,63,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"489,638321856002",Definitivo,Trimestral
Paraguay,64,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Países Bajos,62,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"88,2209040207775",Definitivo,Trimestral
Perú,65,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"29,8814974461971",Definitivo,Trimestral
Portugal,66,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"3,21016851263533",Definitivo,Trimestral
Puerto Rico,67,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"0,76704166",Definitivo,Trimestral
República Dominicana,69,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"4,26776830022197",Definitivo,Trimestral
Singapur,70,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"17,0568777028284",Definitivo,Trimestral
Sri Lanka,71,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Sudáfrica,74,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Suecia,72,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"50,4053311461552",Definitivo,Trimestral
Suiza,73,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"140,12056060521",Definitivo,Trimestral
Tailandia,75,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Taiwán,76,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Total paises,82,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"2197,15841946557",Definitivo,Trimestral
Ucrania,77,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Uruguay,78,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"11,7935326313634",Definitivo,Trimestral
Venezuela,79,3,2015-3,2015,Países,Inversión Extranjera Directa en Colombia,"23,785152905381",Definitivo,Trimestral
Afganistán,1,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Albania,2,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Alemania,3,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"48,3940294160047",Definitivo,Trimestral
Anguilla,4,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"-59,2693585689648",Definitivo,Trimestral
Antillas Holandesas,5,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"-0,132160458168668",Definitivo,Trimestral
Argentina,6,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,586857839429749",Definitivo,Trimestral
Aruba,7,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,051234916246258",Definitivo,Trimestral
Australia,8,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"1,06667461590541",Definitivo,Trimestral
Austria,9,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"12,0750382978407",Definitivo,Trimestral
Bahamas,10,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"8,06873490693591",Definitivo,Trimestral
Barbados,11,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"85,0999930207965",Definitivo,Trimestral
Belice,13,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Bermudas,14,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"346,948142460967",Definitivo,Trimestral
Bolivia,15,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,6998522",Definitivo,Trimestral
Brasil,16,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"7,15272274265812",Definitivo,Trimestral
Bélgica,12,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"24,0097943086902",Definitivo,Trimestral
Canadá,17,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"146,134444167736",Definitivo,Trimestral
Chile,18,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"422,078098421877",Definitivo,Trimestral
China,19,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"-1,85539216749243",Definitivo,Trimestral
Chipre,21,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,318482891398297",Definitivo,Trimestral
Corea del Sur,20,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"15,2528583526395",Definitivo,Trimestral
Costa Rica,22,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"1,8268829085546",Definitivo,Trimestral
Cuba,23,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Curazao,24,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,86307192299671",Definitivo,Trimestral
Dinamarca,25,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,459368482273968",Definitivo,Trimestral
Ecuador,26,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"7,92735039432627",Definitivo,Trimestral
El Salvador,27,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Escocia,28,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
España,29,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"378,815284808168",Definitivo,Trimestral
Estados Unidos,30,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"747,83861045697",Definitivo,Trimestral
Finlandia,31,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Francia,32,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"28,2619575995132",Definitivo,Trimestral
Gibraltar,33,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Grecia,34,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Guatemala,35,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Honduras,36,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hong Kong,37,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Hungría,38,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
India,41,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"1,63414641060194",Definitivo,Trimestral
Inglaterra,42,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"271,071271835232",Definitivo,Trimestral
Irlanda⁴,45,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"1,37465919464319",Definitivo,Trimestral
Irán,44,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Isla de Man,46,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,0,Definitivo,Trimestral
Islas Caimán,39,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"80,9247725306996",Definitivo,Trimestral
Islas Vírgenes Británicas,40,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"66,1755060762155",Definitivo,Trimestral
Israel,47,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"0,163433612534937",Definitivo,Trimestral
Italia,48,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"15,3924996893224",Definitivo,Trimestral
Japón,49,2,2015-2,2015,Países,Inversión Extranjera Directa en Colombia,"23,0422802661429",Definitivo,Trimestral
